"GHGRP_Facility_ID__c","Account Name","Account Site","Parent_Company__c","EPA_Industry_Sector__c","Billing Street","Billing City","Billing State/Province","Billing Country","Billing Zip/Postal Code","Target_Decision_Maker_Role__c","Campaign_Segment__c","Rating","Description"
"GHGRP-1004084","MOUNT CARBERRY LANDFILL - Berlin, NH","MOUNT CARBERRY LANDFILL","ANDROSCOGGIN VALLEY REGIONAL REFUSE","Waste","OFF HUTCHINS ST","Berlin","New Hampshire","United States","03570","Director of Operations","Waste and Environmental","Cold","Waste-sector facility; qualify electricity, natural-gas, and multi-site purchasing needs."
"GHGRP-1004751","FOUR HILLS LANDFILL - Nashua, NH","FOUR HILLS LANDFILL","CITY OF NASHUA DEPARTMENT OF PUBLIC WORKS","Waste","840 WEST HOLLIS STREET","Nashua","New Hampshire","United States","03062","Director of Operations","Waste and Environmental","Cold","Waste-sector facility; qualify electricity, natural-gas, and multi-site purchasing needs."
"GHGRP-1006421","LEBANON LANDFILL AND RECYCLING CENTER - West Lebanon, NH","LEBANON LANDFILL AND RECYCLING CENTER","CITY OF LEBANON NEW HAMPSHIRE","Waste","370 PLAINFIELD ROAD, RTE 12-A","West Lebanon","New Hampshire","United States","03784","Director of Operations","Waste and Environmental","Cold","Waste-sector facility; qualify electricity, natural-gas, and multi-site purchasing needs."
"GHGRP-1006283","RHODE ISLAND Resource Recovery Corporation - Johnston, RI","RHODE ISLAND Resource Recovery Corporation","RHODE ISLAND RESOURCE RECOVERY CORP","Waste","65 SHUN PIKE","Johnston","Rhode Island","United States","02919","Director of Operations","Waste and Environmental","Cold","Waste-sector facility; qualify electricity, natural-gas, and multi-site purchasing needs."
"GHGRP-1002017","University of Maine - Orono, ME","University of Maine","UNIVERSITY OF MAINE SYSTEM","Other","5765 Service Building","Orono","Maine","United States","04469","Director of Facilities","Facilities and Institutions","Cold","General commercial or institutional facility; validate site portfolio and purchasing authority."
"GHGRP-1002803","University of Vermont and State Agricultural College - Burlington, VT","University of Vermont and State Agricultural College","UNIVERSITY OF VERMONT & STATE AGRICULTURAL COLLEGE","Other","284 East Avenue","Burlington","Vermont","United States","05405","Director of Facilities","Facilities and Institutions","Cold","General commercial or institutional facility; validate site portfolio and purchasing authority."
"GHGRP-1011251","Omya Inc. (Verpol) - Florence, VT","Omya Inc. (Verpol)","OMYA INDUSTRIES INC","Other","206 Omya West","Florence","Vermont","United States","05701","Director of Facilities","Facilities and Institutions","Cold","General commercial or institutional facility; validate site portfolio and purchasing authority."
"GHGRP-1013349","Northern Light - Eastern Maine Medical Center - Bangor, ME","Northern Light - Eastern Maine Medical Center","NORTHERN LIGHT HEALTH","Other","489 State Street","Bangor","Maine","United States","04401","Director of Facilities","Facilities and Institutions","Cold","General commercial or institutional facility; validate site portfolio and purchasing authority."
"GHGRP-1013584","Pioneer Plastics Corporation - Auburn, ME","Pioneer Plastics Corporation","PANOLAM INDUSTRIES INTERNATIONAL INC","Other","1 Pionite Road","Auburn","Maine","United States","04210","Director of Facilities","Facilities and Institutions","Cold","General commercial or institutional facility; validate site portfolio and purchasing authority."
"GHGRP-1009581","Diodes US Manufacturing Incorporated - South Portland, ME","Diodes US Manufacturing Incorporated","DIODES INC","Other","333 Western Avenue","South Portland","Maine","United States","04106","Director of Facilities","Facilities and Institutions","Cold","General commercial or institutional facility; validate site portfolio and purchasing authority."
"GHGRP-1006917","International N&H USA, INC - Rockland, ME","International N&H USA, INC","INTERNATIONAL FLAVORS & FRAGRANCES INC","Other","1 CROCKETTS POINT","Rockland","Maine","United States","04841","Director of Facilities","Facilities and Institutions","Cold","General commercial or institutional facility; validate site portfolio and purchasing authority."
"GHGRP-1002915","ANHEUSER-BUSCH LLC - Merrimack, NH","ANHEUSER-BUSCH LLC","ANHEUSER-BUSCH COS LLC","Other,Suppliers of CO2","221 DANIEL WEBSTER HIGHWAY","Merrimack","New Hampshire","United States","03054","Director of Operations","Industrial High-Load","Cold","Industrial supplier; validate whether energy procurement is managed at the site or parent-company level."
"GHGRP-1006130","Cromwell - Cromwell, CT","Cromwell","Enbridge (US) Inc","Petroleum and Natural Gas Systems","252 Shunpike Road","Cromwell","Connecticut","United States","06416","Director of Operations","Energy Infrastructure","Cold","Energy-sector operator; retain for market intelligence and qualify end-customer purchasing fit."
"GHGRP-1000206","Burrillville - Pascoag, RI","Burrillville","Enbridge (US) Inc","Petroleum and Natural Gas Systems","54 Algonquin Lane","Pascoag","Rhode Island","United States","02859","Director of Operations","Energy Infrastructure","Cold","Energy-sector operator; retain for market intelligence and qualify end-customer purchasing fit."
"GHGRP-1008158","Oxford Station - Oxford, CT","Oxford Station","Enbridge (US) Inc","Petroleum and Natural Gas Systems","40 Woodruff Hill Road","Oxford","Connecticut","United States","06478","Director of Operations","Energy Infrastructure","Cold","Energy-sector operator; retain for market intelligence and qualify end-customer purchasing fit."
"GHGRP-1004165","IROQUOIS GAS TRANSMISSION SYSTEM, L.P. - BROOKFIELD COMPRESSOR STATION - Brookfield, CT","IROQUOIS GAS TRANSMISSION SYSTEM, L.P. - BROOKFIELD COMPRESSOR STATION","IROQUOIS GAS TRANSMISSION SYSTEM LP","Petroleum and Natural Gas Systems","78 HIGH MEADOW ROAD","Brookfield","Connecticut","United States","06804","Director of Operations","Energy Infrastructure","Cold","Energy-sector operator; retain for market intelligence and qualify end-customer purchasing fit."
"GHGRP-1008146","Chaplin Station - Chaplin, CT","Chaplin Station","Enbridge (US) Inc","Petroleum and Natural Gas Systems","539 Tower Hill Road","Chaplin","Connecticut","United States","06235","Director of Operations","Energy Infrastructure","Cold","Energy-sector operator; retain for market intelligence and qualify end-customer purchasing fit."
"GHGRP-1009333","TGP Station 264 Charlton - Charlton, MA","TGP Station 264 Charlton","KINDER MORGAN INC","Petroleum and Natural Gas Systems","196 Carpenter Hill Rd","Charlton","Massachusetts","United States","01507","Director of Operations","Energy Infrastructure","Cold","Energy-sector operator; retain for market intelligence and qualify end-customer purchasing fit."
"GHGRP-1010498","TGP Station 261 Agawam - Agawam, MA","TGP Station 261 Agawam","KINDER MORGAN INC","Petroleum and Natural Gas Systems","1615 Suffield St","Agawam","Massachusetts","United States","01001","Director of Operations","Energy Infrastructure","Cold","Energy-sector operator; retain for market intelligence and qualify end-customer purchasing fit."
"GHGRP-1002283","MCCAIN FOODS POTATO FACILITY - Easton, ME","MCCAIN FOODS POTATO FACILITY","MCCAIN USA INC","Other,Waste","319 RICHARDSON ROAD","Easton","Maine","United States","04740","Director of Operations","Waste and Environmental","Cold","Mixed industrial and waste operation; confirm energy-load profile and site decision authority."
"GHGRP-1003769","DISTRIGAS OF MASSACHUSETTS LLC - Everett, MA","DISTRIGAS OF MASSACHUSETTS LLC","Constellation Energy Corp","Petroleum and Natural Gas Systems","18 ROVER ST","Everett","Massachusetts","United States","02149","Director of Operations","Energy Infrastructure","Cold","Energy-sector operator; retain for market intelligence and qualify end-customer purchasing fit."
"GHGRP-1001338","Lake Road Generating Company - Dayville, CT","Lake Road Generating Company","Vistra Corp","Power Plants","56 ALEXANDER PARKWAY","Dayville","Connecticut","United States","06241","Plant Manager","Market Intelligence - Generation","Cold","Generation facility; low end-customer fit, retained for market context and qualification practice."
"GHGRP-1013223","CPV Towantic Energy Center - Oxford, CT","CPV Towantic Energy Center","OSAKA GAS USA CORP","Power Plants","16 Woodruff Hill Road","Oxford","Connecticut","United States","06478","Plant Manager","Market Intelligence - Generation","Cold","Generation facility; low end-customer fit, retained for market context and qualification practice."
"GHGRP-1007307","Milford Power Company LLC - Milford, CT","Milford Power Company LLC","Vistra Corp","Power Plants","55 SHELLAND ST","Milford","Connecticut","United States","06460","Plant Manager","Market Intelligence - Generation","Cold","Generation facility; low end-customer fit, retained for market context and qualification practice."
"GHGRP-1001315","Rhode Island State Energy Center - Johnston, RI","Rhode Island State Energy Center","RHODE ISLAND STATE ENERGY CENTER LP","Power Plants","24 SHUN PIKE","Johnston","Rhode Island","United States","02919","Plant Manager","Market Intelligence - Generation","Cold","Generation facility; low end-customer fit, retained for market context and qualification practice."
"GHGRP-1001345","Granite Ridge Energy - Londonderry, NH","Granite Ridge Energy","CPN MANAGEMENT LP","Power Plants","21 NORTH WENTWORTH AVE","Londonderry","New Hampshire","United States","03053","Plant Manager","Market Intelligence - Generation","Cold","Generation facility; low end-customer fit, retained for market context and qualification practice."
"GHGRP-1006949","Bridgeport Harbor Station - Bridgeport, CT","Bridgeport Harbor Station","ARCLIGHT ENERGY PARTNERS FUND VII LP","Power Plants","2 ATLANTIC ST","Bridgeport","Connecticut","United States","06604","Plant Manager","Market Intelligence - Generation","Cold","Generation facility; low end-customer fit, retained for market context and qualification practice."
"GHGRP-1002802","KLEEN ENERGY SYSTEMS POWER PLANT - Middletown, CT","KLEEN ENERGY SYSTEMS POWER PLANT","KLEEN ENERGY SYSTEMS LLC","Power Plants","1349 RIVER RD","Middletown","Connecticut","United States","06457","Plant Manager","Market Intelligence - Generation","Cold","Generation facility; low end-customer fit, retained for market context and qualification practice."
"GHGRP-1001299","Bridgeport Energy - Bridgeport, CT","Bridgeport Energy","BRIDGEPORT ENERGY LLC","Power Plants","10 ATLANTIC ST","Bridgeport","Connecticut","United States","06604","Plant Manager","Market Intelligence - Generation","Cold","Generation facility; low end-customer fit, retained for market context and qualification practice."
"GHGRP-1000905","Manchester Street - Providence, RI","Manchester Street","EDGEWATER GENERATION HOLDINGS LLC","Power Plants","40 POINT ST","Providence","Rhode Island","United States","02903","Plant Manager","Market Intelligence - Generation","Cold","Generation facility; low end-customer fit, retained for market context and qualification practice."
"GHGRP-1001301","Tiverton Power - Tiverton, RI","Tiverton Power","CARLYLE GROUP MANAGEMENT LLC","Power Plants","304 PROGRESS RD","Tiverton","Rhode Island","United States","02878","Plant Manager","Market Intelligence - Generation","Cold","Generation facility; low end-customer fit, retained for market context and qualification practice."
"GHGRP-1001258","Ocean State Power - Harrisville, RI","Ocean State Power","LS Power Development, LLC","Power Plants","1575 SHERMAN FARM ROAD","Harrisville","Rhode Island","United States","02830","Plant Manager","Market Intelligence - Generation","Cold","Generation facility; low end-customer fit, retained for market context and qualification practice."
"GHGRP-1007646","CROSSROADS LANDFILL - Norridgewock, ME","CROSSROADS LANDFILL","WASTE MANAGEMENT INC","Waste","357 MERCER RD","Norridgewock","Maine","United States","04957","Director of Operations","Waste and Environmental","Cold","Waste-sector facility; qualify electricity, natural-gas, and multi-site purchasing needs."
"GHGRP-1000047","PENOBSCOT ENERGY RECOVERY CO. - Orrington, ME","PENOBSCOT ENERGY RECOVERY CO.","USA ENERGY GROUP LLC","Waste","29 INDUSTRIAL WAY","Orrington","Maine","United States","04474","Director of Operations","Waste and Environmental","Cold","Waste-sector facility; qualify electricity, natural-gas, and multi-site purchasing needs."
"GHGRP-1007435","MASSPOWER - Indian Orchard, MA","MASSPOWER","Vistra Corp","Power Plants","750 WORCESTER ST","Indian Orchard","Massachusetts","United States","01151","Plant Manager","Market Intelligence - Generation","Cold","Generation facility; low end-customer fit, retained for market context and qualification practice."
"GHGRP-1012869","Salem Harbor Station NGCC - Salem, MA","Salem Harbor Station NGCC","Salem Harbor Power Development LP","Power Plants","24 Fort Ave","Salem","Massachusetts","United States","01970","Plant Manager","Market Intelligence - Generation","Cold","Generation facility; low end-customer fit, retained for market context and qualification practice."
"GHGRP-1000580","MEDICAL AREA TOTAL ENERGY PLANT - Boston, MA","MEDICAL AREA TOTAL ENERGY PLANT","LONGWOOD ENERGY PARTNERS LLC","Power Plants","474 BROOKLINE AVE","Boston","Massachusetts","United States","02215","Plant Manager","Market Intelligence - Generation","Cold","Generation facility; low end-customer fit, retained for market context and qualification practice."
"GHGRP-1001404","Westbrook Energy Center - Westbrook, ME","Westbrook Energy Center","CPN MANAGEMENT LP","Power Plants","60 EISENHOWER DRIVE","Westbrook","Maine","United States","04092","Plant Manager","Market Intelligence - Generation","Cold","Generation facility; low end-customer fit, retained for market context and qualification practice."
"GHGRP-1001271","Ocean State Power II - Harrisville, RI","Ocean State Power II","LS Power Development, LLC","Power Plants","1575 SHERMAN FARM ROAD","Harrisville","Rhode Island","United States","02830","Plant Manager","Market Intelligence - Generation","Cold","Generation facility; low end-customer fit, retained for market context and qualification practice."
"GHGRP-1000170","Newington Energy - Newington, NH","Newington Energy","ESSENTIAL POWER LLC","Power Plants","200 SHATTUCK WAY","Newington","New Hampshire","United States","03801","Plant Manager","Market Intelligence - Generation","Cold","Generation facility; low end-customer fit, retained for market context and qualification practice."
"GHGRP-1001307","Millennium Power - Charlton, MA","Millennium Power","MILLENNIUM POWER CO LLC","Power Plants","10 SHERWOOD LANE","Charlton","Massachusetts","United States","01507","Plant Manager","Market Intelligence - Generation","Cold","Generation facility; low end-customer fit, retained for market context and qualification practice."
"GHGRP-1001294","Dighton - Dighton, MA","Dighton","Lotus Infrastructure Partners","Power Plants","1450 SOMERSET AVE","Dighton","Massachusetts","United States","02715","Plant Manager","Market Intelligence - Generation","Cold","Generation facility; low end-customer fit, retained for market context and qualification practice."
"GHGRP-1014566","Westbrook - Westbrook, ME","Westbrook","Enbridge (US) Inc","Petroleum and Natural Gas Systems","420 Small Hardy Rd","Westbrook","Maine","United States","04092","Director of Operations","Energy Infrastructure","Cold","Energy-sector operator; retain for market intelligence and qualify end-customer purchasing fit."
"GHGRP-1008371","Richmond Station - Richmond, ME","Richmond Station","Enbridge (US) Inc","Petroleum and Natural Gas Systems","547 Lincoln Street","Richmond","Maine","United States","04357","Director of Operations","Energy Infrastructure","Cold","Energy-sector operator; retain for market intelligence and qualify end-customer purchasing fit."
"GHGRP-1007422","Maine Independence Station - Veazie, ME","Maine Independence Station","Vistra Corp","Power Plants","125 SHORE ROAD","Veazie","Maine","United States","04401","Plant Manager","Market Intelligence - Generation","Cold","Generation facility; low end-customer fit, retained for market context and qualification practice."
"GHGRP-1000729","Merrimack - Bow, NH","Merrimack","GRANITE SHORE POWER LLC","Power Plants","431 RIVER RD","Bow","New Hampshire","United States","03304","Plant Manager","Market Intelligence - Generation","Cold","Generation facility; low end-customer fit, retained for market context and qualification practice."
"GHGRP-1006408","Middletown - Middletown, CT","Middletown","ARCLIGHT ENERGY PARTNERS FUND VII LP","Power Plants","1866 RIVER ROAD","Middletown","Connecticut","United States","06457","Plant Manager","Market Intelligence - Generation","Cold","Generation facility; low end-customer fit, retained for market context and qualification practice."
"GHGRP-1006775","Milford Power, LLC - Milford, MA","Milford Power, LLC","JERA ENERGY AMERICA LLC","Power Plants","108 NATIONAL ST","Milford","Massachusetts","United States","01757","Plant Manager","Market Intelligence - Generation","Cold","Generation facility; low end-customer fit, retained for market context and qualification practice."
"GHGRP-1000655","Medway Station - Medway, MA","Medway Station","CONSTELLATION ENERGY CORP","Power Plants","9 SUMMER ST","Medway","Massachusetts","United States","02053","Plant Manager","Market Intelligence - Generation","Cold","Generation facility; low end-customer fit, retained for market context and qualification practice."
"GHGRP-1000092","Kneeland Station - Boston, MA","Kneeland Station","VICINITY ENERGY INC","Power Plants","165 Kneeland St.","Boston","Massachusetts","United States","02111","Plant Manager","Market Intelligence - Generation","Cold","Generation facility; low end-customer fit, retained for market context and qualification practice."
"GHGRP-1000658","Canal Station - Sandwich, MA","Canal Station","JERA AMERICAS HOLDINGS INC","Power Plants","9 FREEZER ROAD","Sandwich","Massachusetts","United States","02563","Plant Manager","Market Intelligence - Generation","Cold","Generation facility; low end-customer fit, retained for market context and qualification practice."
"GHGRP-1013945","Bucksport Mill, LLC - Bucksport, ME","Bucksport Mill, LLC","Bucksport Mill, LLC","Power Plants,Waste","109 River Road","Bucksport","Maine","United States","04416","Plant Manager","Market Intelligence - Generation","Cold","Generation and waste facility; validate load-serving opportunity before outreach."
"GHGRP-1001312","Rumford Power LLC - Rumford, ME","Rumford Power LLC","CARLYLE GROUP MANAGEMENT LLC","Power Plants","43 INDUSTRIAL PARK ROAD","Rumford","Maine","United States","04276","Plant Manager","Market Intelligence - Generation","Cold","Generation facility; low end-customer fit, retained for market context and qualification practice."
"GHGRP-1001281","Pratt & Whitney, East Hartford - East Hartford, CT","Pratt & Whitney, East Hartford","RTX CORP","Power Plants","400 MAIN","East Hartford","Connecticut","United States","06108","Plant Manager","Market Intelligence - Generation","Cold","Generation facility; low end-customer fit, retained for market context and qualification practice."
"GHGRP-1000069","Wallingford Energy, LLC - Wallingford, CT","Wallingford Energy, LLC","LS Power Development, LLC","Power Plants","115 John St","Wallingford","Connecticut","United States","06460","Plant Manager","Market Intelligence - Generation","Cold","Generation facility; low end-customer fit, retained for market context and qualification practice."
"GHGRP-1006409","Algonquin Power Windsor Locks, LLC - Windsor Locks, CT","Algonquin Power Windsor Locks, LLC","ALGONQUIN POWER WINDSOR LOCKS LLC","Power Plants","26 CANAL BANK RD","Windsor Locks","Connecticut","United States","06096","Plant Manager","Market Intelligence - Generation","Cold","Generation facility; low end-customer fit, retained for market context and qualification practice."
"GHGRP-1001207","Bellingham - Bellingham, MA","Bellingham","NEXTERA ENERGY INC","Power Plants","92 DEPOT ST","Bellingham","Massachusetts","United States","02019","Plant Manager","Market Intelligence - Generation","Cold","Generation facility; low end-customer fit, retained for market context and qualification practice."
"GHGRP-1000667","Cleary Flood - Taunton, MA","Cleary Flood","TAUNTON MUNICIPAL LIGHTING PLANT","Power Plants","1314 SOMERSET AVE","Taunton","Massachusetts","United States","02780","Plant Manager","Market Intelligence - Generation","Cold","Generation facility; low end-customer fit, retained for market context and qualification practice."
"GHGRP-1001298","Berkshire Power - Agawam, MA","Berkshire Power","BERKSHIRE POWER CO","Power Plants","36 MOYLAN LANE","Agawam","Massachusetts","United States","01001","Plant Manager","Market Intelligence - Generation","Cold","Generation facility; low end-customer fit, retained for market context and qualification practice."
"GHGRP-1000665","Potter - Braintree, MA","Potter","BRAINTREE ELECTRIC LIGHT DEPARTMENT","Power Plants","150 POTTER ROAD","Braintree","Massachusetts","United States","02184","Plant Manager","Market Intelligence - Generation","Cold","Generation facility; low end-customer fit, retained for market context and qualification practice."
"GHGRP-1009167","Dartmouth Power - Dartmouth, MA","Dartmouth Power","SAPPHIRE POWER HOLDINGS LLC","Power Plants","1 ENERGY RD.","Dartmouth","Massachusetts","United States","02747","Plant Manager","Market Intelligence - Generation","Cold","Generation facility; low end-customer fit, retained for market context and qualification practice."
"GHGRP-1001021","Stony Brook - Ludlow, MA","Stony Brook","MASSACHUSETTS MUNICIPAL WHOLESALE ELECTRIC CO","Power Plants","327 MOODY ST","Ludlow","Massachusetts","United States","01056","Plant Manager","Market Intelligence - Generation","Cold","Generation facility; low end-customer fit, retained for market context and qualification practice."
"GHGRP-1005731","Pittsfield Generating - Pittsfield, MA","Pittsfield Generating","PITTSFIELD GENERATING CO LP","Power Plants","235 MERRILL ROAD","Pittsfield","Massachusetts","United States","01201","Plant Manager","Market Intelligence - Generation","Cold","Generation facility; low end-customer fit, retained for market context and qualification practice."
"GHGRP-1001296","JGT2 Cogen - Jay, ME","JGT2 Cogen","PIXELLE SPECIALTY SOLUTIONS LLC","Power Plants","GATE 15 300 RILEY ROAD","Jay","Maine","United States","04239","Plant Manager","Market Intelligence - Generation","Cold","Generation facility; low end-customer fit, retained for market context and qualification practice."
"GHGRP-1001615","William F Wyman - Yarmouth, ME","William F Wyman","NEXTERA ENERGY INC","Power Plants","677 COUSINS ST","Yarmouth","Maine","United States","04096","Plant Manager","Market Intelligence - Generation","Cold","Generation facility; low end-customer fit, retained for market context and qualification practice."
"GHGRP-1001181","Newington - Newington, NH","Newington","GRANITE SHORE POWER LLC","Power Plants","165 GOSLING RD","Newington","New Hampshire","United States","03801","Plant Manager","Market Intelligence - Generation","Cold","Generation facility; low end-customer fit, retained for market context and qualification practice."
"GHGRP-1010343","Hartford Hospital Cogeneration Facility - Hartford, CT","Hartford Hospital Cogeneration Facility","CARTIER ENERGY LLC","Power Plants","19 Jefferson St","Hartford","Connecticut","United States","06106","Plant Manager","Market Intelligence - Generation","Cold","Generation facility; low end-customer fit, retained for market context and qualification practice."
"GHGRP-1001469","Montville - Uncasville, CT","Montville","ARCLIGHT ENERGY PARTNERS FUND VII LP","Power Plants","74 LATHROP ROAD","Uncasville","Connecticut","United States","06382","Plant Manager","Market Intelligence - Generation","Cold","Generation facility; low end-customer fit, retained for market context and qualification practice."
"GHGRP-1010109","Hartford Steam - Columbus Plant - Hartford, CT","Hartford Steam - Columbus Plant","CARTIER ENERGY LLC","Power Plants","60 Columbus Blvd","Hartford","Connecticut","United States","06103","Plant Manager","Market Intelligence - Generation","Cold","Generation facility; low end-customer fit, retained for market context and qualification practice."
"GHGRP-1005996","New Haven Harbor Station - New Haven, CT","New Haven Harbor Station","ARCLIGHT ENERGY PARTNERS FUND VII LP","Power Plants","600 Connecticut Avenue","New Haven","Connecticut","United States","06512","Plant Manager","Market Intelligence - Generation","Cold","Generation facility; low end-customer fit, retained for market context and qualification practice."
"GHGRP-1000538","Waterbury Generation - Waterbury, CT","Waterbury Generation","MPH WATERBURY LLC","Power Plants","725 BANK ST","Waterbury","Connecticut","United States","06708","Plant Manager","Market Intelligence - Generation","Cold","Generation facility; low end-customer fit, retained for market context and qualification practice."
"GHGRP-1000730","Schiller - Portsmouth, NH","Schiller","GRANITE SHORE POWER LLC","Power Plants","400 GOSLING RD","Portsmouth","New Hampshire","United States","03801","Plant Manager","Market Intelligence - Generation","Cold","Generation facility; low end-customer fit, retained for market context and qualification practice."
"GHGRP-1006174","BUCKSPORT GENERATION LLC - Bucksport, ME","BUCKSPORT GENERATION LLC","AIM Development USA LLC","Power Plants","30 Generation Lane","Bucksport","Maine","United States","04416","Plant Manager","Market Intelligence - Generation","Cold","Generation facility; low end-customer fit, retained for market context and qualification practice."
